year,month,rank_ME,rank_IA,rank_ROE,ret_vw
1981,1,1,1,1,2.5391
1981,2,1,1,1,0.6384
1981,3,1,1,1,7.3686
1981,4,1,1,1,2.3040
1981,5,1,1,1,2.7330
1981,6,1,1,1,-1.6977
1981,7,1,1,1,-2.5808
1981,8,1,1,1,-8.5406
1981,9,1,1,1,-7.5708
1981,10,1,1,1,6.9728
1981,11,1,1,1,0.4518
1981,12,1,1,1,-0.7509
1982,1,1,1,1,-2.4914
1982,2,1,1,1,-3.9003
1982,3,1,1,1,-0.0400
1982,4,1,1,1,5.9119
1982,5,1,1,1,-3.7387
1982,6,1,1,1,-0.4273
1982,7,1,1,1,-1.3263
1982,8,1,1,1,8.8870
1982,9,1,1,1,1.5593
1982,10,1,1,1,11.6775
1982,11,1,1,1,8.6909
1982,12,1,1,1,0.5520
1983,1,1,1,1,7.6045
1983,2,1,1,1,7.0705
1983,3,1,1,1,6.1083
1983,4,1,1,1,7.6658
1983,5,1,1,1,6.4618
1983,6,1,1,1,8.5043
1983,7,1,1,1,-2.9249
1983,8,1,1,1,-3.6880
1983,9,1,1,1,1.1751
1983,10,1,1,1,-5.9230
1983,11,1,1,1,5.8060
1983,12,1,1,1,0.1322
1984,1,1,1,1,1.4970
1984,2,1,1,1,-5.7346
1984,3,1,1,1,3.2820
1984,4,1,1,1,-2.2221
1984,5,1,1,1,-7.5986
1984,6,1,1,1,1.6092
1984,7,1,1,1,-8.0769
1984,8,1,1,1,9.6264
1984,9,1,1,1,-0.3485
1984,10,1,1,1,-5.1110
1984,11,1,1,1,-2.6119
1984,12,1,1,1,-1.5492
1985,1,1,1,1,8.8489
1985,2,1,1,1,1.8064
1985,3,1,1,1,-2.2284
1985,4,1,1,1,-1.9642
1985,5,1,1,1,1.2864
1985,6,1,1,1,-1.5739
1985,7,1,1,1,2.3124
1985,8,1,1,1,-0.8892
1985,9,1,1,1,-6.3298
1985,10,1,1,1,0.7023
1985,11,1,1,1,3.8124
1985,12,1,1,1,1.5386
1986,1,1,1,1,-0.7856
1986,2,1,1,1,3.0703
1986,3,1,1,1,5.2622
1986,4,1,1,1,-0.0398
1986,5,1,1,1,2.7256
1986,6,1,1,1,-1.9067
1986,7,1,1,1,-11.1731
1986,8,1,1,1,5.0377
1986,9,1,1,1,-4.5058
1986,10,1,1,1,3.1311
1986,11,1,1,1,-1.1389
1986,12,1,1,1,-2.7829
1987,1,1,1,1,11.1643
1987,2,1,1,1,8.6366
1987,3,1,1,1,5.0144
1987,4,1,1,1,-2.0930
1987,5,1,1,1,2.2048
1987,6,1,1,1,2.0981
1987,7,1,1,1,6.6202
1987,8,1,1,1,0.3165
1987,9,1,1,1,-0.4719
1987,10,1,1,1,-30.8309
1987,11,1,1,1,-3.1486
1987,12,1,1,1,3.4599
1988,1,1,1,1,6.3456
1988,2,1,1,1,5.6026
1988,3,1,1,1,4.4947
1988,4,1,1,1,2.3954
1988,5,1,1,1,-1.0402
1988,6,1,1,1,3.6192
1988,7,1,1,1,0.5653
1988,8,1,1,1,-1.8232
1988,9,1,1,1,1.0312
1988,10,1,1,1,-0.7474
1988,11,1,1,1,-2.8829
1988,12,1,1,1,5.4362
1989,1,1,1,1,5.6426
1989,2,1,1,1,2.3281
1989,3,1,1,1,2.8505
1989,4,1,1,1,3.8177
1989,5,1,1,1,3.6562
1989,6,1,1,1,-1.1655
1989,7,1,1,1,2.9941
1989,8,1,1,1,2.6322
1989,9,1,1,1,0.6309
1989,10,1,1,1,-6.2276
1989,11,1,1,1,1.7610
1989,12,1,1,1,-0.8833
1990,1,1,1,1,-8.0167
1990,2,1,1,1,1.8818
1990,3,1,1,1,2.6898
1990,4,1,1,1,-3.9613
1990,5,1,1,1,6.8102
1990,6,1,1,1,0.6317
1990,7,1,1,1,-2.9111
1990,8,1,1,1,-11.4416
