,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,-0.007512495914598089,0.004320113159157471,-0.0015961913777203093,137,133
2001-02-28,-0.037409389345829734,0.042269620538795044,0.002430115596482655,143,150
2001-03-31,0.0722339740304174,-0.08694534003999524,-0.007355683004788921,85,203
2001-04-30,0.051556868087448374,-0.036119700155118485,0.007718583966164944,135,150
2001-05-31,-0.025744552244697332,0.007691865490805203,-0.009026343376946064,162,123
2001-06-30,0.006809121575860626,-0.014352900921707552,-0.003771889672923463,199,99
2001-07-31,-0.028206910371984015,0.018770016241229003,-0.004718447065377506,144,155
2001-08-31,-0.09521337049023836,0.09216311031250021,-0.0015251300888690714,103,198
2001-09-30,0.03317683007220612,-0.04608247152552304,-0.006452820726658461,73,228
2001-10-31,0.06567788570202564,-0.08809664061806016,-0.011209377458017263,102,201
2001-11-30,0.038879157861147616,-0.05125180104584828,-0.0061863215923503335,163,137
2001-12-31,0.012160919055577722,0.01353184289369971,0.012846380974638716,237,71
2002-01-31,0.006860716776545494,-0.016384378064167825,-0.004761830643811166,217,93
2002-02-28,0.07100850658914037,-0.04670319203298453,0.012152657278077923,155,156
2002-03-31,-0.013486204443018217,0.007944762910987934,-0.002770720766015142,179,133
2002-04-30,-0.010716021146012427,0.006860825944886753,-0.001927597600562837,154,158
2002-05-31,-0.046745726061900465,0.047205240781841,0.00022975735997026597,153,160
2002-06-30,-0.10944739726530074,0.09175639023737606,-0.008845503513962343,60,255
2002-07-31,-0.0029337596636585576,-0.020801206752456548,-0.011867483208057552,24,290
2002-08-31,-0.0737658337314707,0.0751404733425366,0.0006873198055329446,61,255
2002-09-30,0.04575568922608927,-0.04196841726459852,0.001893635980745375,53,260
2002-10-31,0.08820530205463839,-0.06622193327143729,0.010991684391600552,134,179
2002-11-30,-0.029597849855951597,0.02824699618380202,-0.0006754268360747891,155,154
2002-12-31,-0.026207059455021914,0.022097630716284178,-0.002054714369368868,200,111
2003-01-31,-0.024179126487537013,0.025633976739552616,0.0007274251260078017,145,169
2003-02-28,0.023042581968006882,-0.025570597605907876,-0.001264007818950497,103,206
2003-03-31,0.08548950499180945,-0.08847574001231535,-0.0014931175102529531,161,142
2003-04-30,0.10109103401406558,-0.09406894411821777,0.003511044947923904,260,51
2003-05-31,0.021491985425289663,-0.028351878308059877,-0.003429946441385107,255,14
2003-06-30,0.03790219263864221,-0.00944544305778358,0.014228374790429314,298,11
2003-07-31,0.035471842334710804,-0.020415978248160226,0.007527932043275289,294,21
2003-08-31,-0.008214609858175815,0.00462749031193909,-0.0017935597731183624,229,90
2003-09-30,0.06723893286234651,-0.08120471082213834,-0.006982888979895914,157,116
2003-10-31,0.023417355730923732,-0.011108770857839338,0.006154292436542197,186,123
2003-11-30,0.04371062521398403,-0.0458836101319218,-0.0010864924589688851,113,131
2003-12-31,0.017630921649722346,-0.006990400479900103,0.0053202605849111215,166,94
2004-01-31,0.03542217240648094,-0.031091654133254463,0.002165259136613239,111,130
2004-02-29,0.0012199476224470332,-0.004136384413512408,-0.0014582183955326876,108,198
2004-03-31,-0.012781502299002349,0.0023887136392832984,-0.005196394329859525,71,241
2004-04-30,0.009272004401186789,-0.019990103926263623,-0.005359049762538417,53,257
2004-05-31,0.030555282065605968,-0.033124134374038564,-0.0012844261542162977,64,242
2004-06-30,-0.03149001743700443,0.029577967487220705,-0.0009560249748918614,93,149
2004-07-31,0.014562076830069237,-0.0058947379137177834,0.004333669458175727,54,210
2004-08-31,0.01983051449574888,-0.035813335052432775,-0.007991410278341948,70,199
2004-09-30,0.014455670267998273,-0.022941487008804613,-0.00424290837040317,96,186
2004-10-31,0.06424244717308161,-0.053374171905632636,0.005434137633724488,154,118
2004-11-30,0.039586869480716075,-0.053887905423158675,-0.0071505179712213,221,70
2004-12-31,-0.013875516320565702,0.014320017681826138,0.0002222506806302182,251,54
2005-01-31,0.03658338238709508,-0.024158316183731345,0.006212533101681869,130,87
2005-02-28,-0.014307590070088371,0.0037017119270199832,-0.005302939071534194,114,123
2005-03-31,-0.020932851261495942,0.023595855241857398,0.001331501990180728,108,189
2005-04-30,0.03832995943314177,-0.04792714109380542,-0.004798590830331826,124,183
2005-05-31,0.025940178377225852,-0.023842476279272114,0.0010488510489768694,155,147
2005-06-30,0.049674659019634276,-0.06073424249034492,-0.005529791735355321,157,127
2005-07-31,-0.002998803678109985,0.006476566146526586,0.0017388812342083004,239,45
2005-08-31,0.012466553321593722,-0.011325416847505333,0.0005705682370441946,163,103
2005-09-30,-0.01201586712624052,0.0091488866421345,-0.0014334902420530095,182,131
2005-10-31,0.042447354941142934,-0.0495384706879279,-0.0035455578733924846,129,187
2005-11-30,0.00698697762336564,-0.008955255314762697,-0.0009841388456985289,189,122
2005-12-31,0.04930141185049056,-0.04827192171396065,0.0005147450682649567,137,151
2006-01-31,0.009575376292286449,-0.013832747875340085,-0.002128685791526818,241,74
2006-02-28,0.0190681841527497,-0.025041868931101587,-0.002986842389175943,157,114
2006-03-31,0.00894320842221066,-0.010248382839749569,-0.0006525872087694545,187,98
2006-04-30,-0.017281122120830637,0.027026072037841475,0.004872474958505419,153,140
2006-05-31,0.011334650420158209,-0.006533364081607572,0.002400643169275318,75,220
2006-06-30,0.010634836271102135,0.013627307185991285,0.01213107172854671,64,203
2006-07-31,0.01825612708321605,-0.02129209483841421,-0.0015179838775990807,57,231
2006-08-31,0.02202514684123915,-0.028765254804450767,-0.0033700539816058084,120,202
2006-09-30,0.04765486383690916,-0.047817067000307044,-8.110158169894258e-05,158,155
