,Long_Only,Short_Only,Long_Short,Num Long,Num Short
2001-01-31,0.015491606041933838,-0.022154691599228477,0.0007183636138046584,80,74
2001-02-28,-0.021423587705498723,0.03145913648140643,-0.000360104198846594,79,97
2001-03-31,-0.012019608123193509,-0.004204398703682568,-0.006857061919077943,45,123
2001-04-30,-0.0352708155844943,0.028211197993854645,-0.004335124666224546,61,95
2001-05-31,-0.0386353177654974,0.05430651455581321,-0.0073824636668346315,75,60
2001-06-30,-0.015312588494766488,-0.01672657768273983,-0.015756587402409396,100,51
2001-07-31,0.08290026970267242,-0.06760784679812903,0.016782607546769,69,80
2001-08-31,0.039146978401492186,-0.018401798640826764,-0.00273429879348696,33,104
2001-09-30,0.0010532296581040896,-0.002926257702310026,-0.0026922867314098727,22,141
2001-10-31,0.02452828185005548,-0.0178379738894531,-0.010501031860663998,47,119
2001-11-30,0.04602106320790231,-0.029083860753386866,0.0052036963084098236,91,84
2001-12-31,-0.04205574821282924,0.08420859522112441,-0.014523182913516963,151,29
2002-01-31,-0.0059701343858794146,-3.3106308752953954e-05,-0.004680899742154802,116,47
2002-02-28,-0.061269769138774785,0.07009665277941915,0.002286307064234964,72,74
2002-03-31,-0.011072046601640463,0.08430475762464816,0.04458494897635232,79,73
2002-04-30,0.00032127590562932586,-0.030516145061359922,-0.016926387860929974,76,89
2002-05-31,-0.0954348611182028,0.0922131345201014,0.020243307045592372,71,92
2002-06-30,0.06951944204586451,-0.048508373219878206,-0.03451001813046427,27,148
2002-07-31,0.029421140483477118,-0.030450111890492022,-0.014746720066581655,34,138
2002-08-31,-0.03192390069229017,0.03804004490889329,0.024244061137346538,43,138
2002-09-30,-0.04833477031608543,0.02066508511954209,0.003597923529529277,41,134
2002-10-31,-0.02232795468135385,0.009247363074911929,-0.006830941245721426,112,61
2002-11-30,0.016379466686806086,-0.013752749501739246,0.0068466701173849525,121,62
2002-12-31,0.08445300120898498,-0.09156924367282623,0.011988378783356969,116,63
2003-01-31,0.07124140253928136,-0.04094717501501875,0.013517044902033374,82,82
2003-02-28,-0.004862820097450926,-0.019848122314726255,-0.016805031012103358,35,121
2003-03-31,0.03837749201695939,-0.042404202063034135,0.00998622637235327,82,64
2003-04-30,0.007472284861642127,-0.007689517416114369,0.005488490142566695,126,32
2003-05-31,-0.013722231040860492,0.029134304649255933,-0.012194301195684492,172,13
2003-06-30,0.050888746696338936,-0.061772313550530755,0.02454287852070837,177,23
2003-07-31,0.000680687099145105,-0.011079610785678764,-0.0017478557548765562,131,52
2003-08-31,0.06523588463831487,-0.052739616472968154,-0.004334511601815351,98,83
2003-09-30,0.02238062097054253,-0.03120694146335415,-0.005281318807736845,73,85
2003-10-31,0.026170405681325816,-0.014965922333755722,0.008172632326725457,80,57
2003-11-30,-0.0008398526382183177,0.00011906434229778679,-0.000233461344636788,50,54
2003-12-31,-0.002119843699150909,0.0149872289583374,0.004407995842505496,87,46
2004-01-31,-0.00641961384802585,-0.003616769670092967,-0.004696510246022095,59,66
2004-02-29,0.0030418933596508936,-0.02804939329580479,-0.010293716181174237,68,74
2004-03-31,-0.05154760746288422,0.017876634037287616,-0.0019546226326351518,46,104
2004-04-30,0.007809936657532377,-0.016232502266730436,-0.008138648536942815,45,133
2004-05-31,0.003378124843895941,-0.03606807050142806,-0.016848003885551674,49,129
2004-06-30,0.006736179802156556,-0.01707754823410567,-0.004071853397193528,64,88
2004-07-31,0.04068018575217308,-0.05353327028511806,-0.02293584195374114,48,107
2004-08-31,0.04832787487108935,-0.04495237788469221,-0.0182918235744883,42,123
2004-09-30,-0.013297313295901395,0.023016783241349613,0.008318779649820633,46,113
2004-10-31,0.05744290289664377,-0.02342675145094512,0.03172981334726625,115,67
2004-11-30,-0.022289160533391427,0.02273358152794639,-0.014849845860442103,161,45
2004-12-31,-0.013799979587782752,0.011448923921661466,-0.009226352876392027,149,44
2005-01-31,0.02822924120951681,-0.049946980699439675,0.00678913278464604,104,59
2005-02-28,-0.0018118476178150128,-0.01822366012456695,-0.008407575358363626,82,71
2005-03-31,0.04559808443021435,-0.04472085201329886,-0.01046625577353244,55,119
2005-04-30,-0.015329793854688386,0.0047238185624053144,-0.0006813546565776446,55,113
2005-05-31,0.006818112927797418,-0.016753072409650183,-0.010668078837835137,70,99
2005-06-30,-0.036588079684500445,0.013337101538551804,-0.0035614067910718435,76,73
2005-07-31,0.034784094010024864,-0.05320550558795189,0.018963444217275926,140,33
2005-08-31,0.01063485160380618,-0.003399570032942841,0.0031569536218595245,79,64
2005-09-30,0.03243549732292475,-0.029639210560118055,0.005541641259413463,77,69
2005-10-31,-0.011778422643956909,-0.017867100460217743,-0.016347162320090744,40,132
2005-11-30,0.02020423648764864,-0.018173761792490493,0.0014880307569319243,77,76
2005-12-31,0.006333976770922374,-0.0264009452573273,-0.006899468836162703,84,78
2006-01-31,-0.020962074929707388,0.026998263918207647,-0.010966191081224494,140,40
2006-02-28,0.006230297726336997,-0.017560941878370196,-0.003004861211568193,80,54
2006-03-31,0.008906675882432111,0.026206758229669887,0.013107963551697238,118,48
2006-04-30,0.00971425357899235,-0.021528219025367543,-0.004839853359096089,86,77
2006-05-31,0.021805947981874924,-0.03139874811653701,-0.014842149114009781,45,130
2006-06-30,0.05544925964570886,-0.02765150886557573,-0.012418140849796007,38,144
2006-07-31,0.04313104270719438,-0.018189091386905058,-0.006999982289922678,35,147
2006-08-31,0.006426121904470349,-0.026737676694254937,-0.014763802483660195,74,105
2006-09-30,0.0163595362551398,-0.02007056617383206,-0.00022077614800200635,94,79
