,0,1
2001-01-31,0.6818181818181818,0.75
2001-02-28,0.8333333333333334,0.746031746031746
2001-03-31,0.8307692307692308,0.5862068965517241
2001-04-30,0.765625,0.7868852459016393
2001-05-31,0.6666666666666666,0.859375
2001-06-30,0.6612903225806451,0.8923076923076924
2001-07-31,0.847457627118644,0.7419354838709677
2001-08-31,0.8253968253968254,0.5396825396825397
2001-09-30,0.9827586206896551,0.5737704918032787
2001-10-31,0.9047619047619048,0.734375
2001-11-30,0.7241379310344828,0.8529411764705882
2001-12-31,0.38028169014084506,0.9523809523809523
2002-01-31,0.6,0.953125
2002-02-28,0.890625,0.8
2002-03-31,0.671875,0.8676470588235294
2002-04-30,0.890625,0.859375
2002-05-31,0.7878787878787878,0.7213114754098361
2002-06-30,0.96875,0.4262295081967213
2002-07-31,1.0,0.2833333333333333
2002-08-31,0.9411764705882353,0.484375
2002-09-30,0.9649122807017544,0.42424242424242425
2002-10-31,0.9242424242424242,0.847457627118644
2002-11-30,0.8095238095238095,0.8507462686567164
2002-12-31,0.6714285714285714,0.746031746031746
2003-01-31,0.7727272727272727,0.6617647058823529
2003-02-28,0.9508196721311475,0.6470588235294118
2003-03-31,0.7536231884057971,0.609375
2003-04-30,0.4032258064516129,0.9545454545454546
2003-05-31,0.07575757575757576,0.8769230769230769
2003-06-30,0.11666666666666667,1.0
2003-07-31,0.14285714285714285,1.0
2003-08-31,0.49230769230769234,0.9384615384615385
2003-09-30,0.8548387096774194,0.7611940298507462
2003-10-31,0.6440677966101694,0.9365079365079365
2003-11-30,0.6086956521739131,0.7358490566037735
2003-12-31,0.7037037037037037,0.8620689655172413
2004-01-31,0.7758620689655172,0.8163265306122449
2004-02-29,0.696969696969697,0.6935483870967742
2004-03-31,0.9076923076923077,0.5932203389830508
2004-04-30,0.8793103448275862,0.4857142857142857
2004-05-31,0.9354838709677419,0.4225352112676056
2004-06-30,0.7164179104477612,0.6417910447761194
2004-07-31,0.8805970149253731,0.3968253968253968
2004-08-31,0.890625,0.3508771929824561
2004-09-30,0.8823529411764706,0.6451612903225806
2004-10-31,0.803030303030303,0.8125
2004-11-30,0.53125,0.9393939393939394
2004-12-31,0.35,0.8253968253968254
2005-01-31,0.6461538461538462,0.6212121212121212
2005-02-28,0.7647058823529411,0.5757575757575758
2005-03-31,0.8088235294117647,0.6268656716417911
2005-04-30,0.8888888888888888,0.7230769230769231
2005-05-31,0.7910447761194029,0.7619047619047619
2005-06-30,0.734375,0.6527777777777778
2005-07-31,0.3333333333333333,0.9682539682539683
2005-08-31,0.640625,0.8484848484848485
2005-09-30,0.7941176470588235,0.8450704225352113
2005-10-31,0.8333333333333334,0.7846153846153846
2005-11-30,0.65625,0.8356164383561644
2005-12-31,0.7076923076923077,0.7424242424242424
2006-01-31,0.6440677966101694,0.9864864864864865
2006-02-28,0.5942028985507246,0.9375
2006-03-31,0.48484848484848486,0.8787878787878788
2006-04-30,0.5538461538461539,0.7575757575757576
2006-05-31,0.7272727272727273,0.578125
2006-06-30,0.835820895522388,0.47058823529411764
2006-07-31,0.9866666666666667,0.421875
2006-08-31,0.7384615384615385,0.6923076923076923
2006-09-30,0.71875,0.7681159420289855
2006-10-31,0.6027397260273972,0.8571428571428571
2006-11-30,0.6515151515151515,0.9428571428571428
2006-12-31,0.6911764705882353,0.746031746031746
2007-01-31,0.8888888888888888,0.9193548387096774
2007-02-28,0.9375,0.6428571428571429
2007-03-31,0.8484848484848485,0.6521739130434783
2007-04-30,0.7910447761194029,0.7246376811594203
2007-05-31,0.6714285714285714,0.9393939393939394
2007-06-30,0.765625,0.7638888888888888
2007-07-31,0.90625,0.640625
2007-08-31,0.9428571428571428,0.43478260869565216
2007-09-30,0.9285714285714286,0.75
2007-10-31,0.7536231884057971,0.8382352941176471
2007-11-30,0.7727272727272727,0.6323529411764706
2007-12-31,0.8714285714285714,0.609375
2008-01-31,0.9714285714285714,0.4782608695652174
2008-02-29,0.9230769230769231,0.4864864864864865
2008-03-31,0.9552238805970149,0.38095238095238093
2008-04-30,0.8,0.7910447761194029
2008-05-31,0.6811594202898551,0.9104477611940298
2008-06-30,0.8571428571428571,0.6956521739130435
2008-07-31,0.9242424242424242,0.7183098591549296
2008-08-31,0.782608695652174,0.6875
2008-09-30,0.8484848484848485,0.7794117647058824
2008-10-31,0.9850746268656716,0.2537313432835821
2008-11-30,0.9859154929577465,0.16417910447761194
2008-12-31,0.9411764705882353,0.3333333333333333
2009-01-31,0.8484848484848485,0.5384615384615384
2009-02-28,0.8676470588235294,0.46875
2009-03-31,0.7571428571428571,0.46875
2009-04-30,0.6231884057971014,0.9710144927536232
2009-05-31,0.3,0.9857142857142858
2009-06-30,0.2,0.9696969696969697
2009-07-31,0.25316455696202533,1.0
2009-08-31,0.3125,0.8170731707317073
2009-09-30,0.2222222222222222,0.95
2009-10-31,0.1875,0.6329113924050633
2009-11-30,0.08536585365853659,0.6666666666666666
2009-12-31,0.8765432098765432,0.5802469135802469
2010-01-31,0.8375,0.6875
2010-02-28,0.85,0.5365853658536586
2010-03-31,0.8536585365853658,0.6538461538461539
2010-04-30,0.8227848101265823,0.9113924050632911
2010-05-31,0.9024390243902439,0.3625
2010-06-30,0.9629629629629629,0.08860759493670886
2010-07-31,0.9620253164556962,0.24050632911392406
2010-08-31,0.8888888888888888,0.35443037974683544
2010-09-30,0.4430379746835443,0.8875
2010-10-31,0.6829268292682927,0.7560975609756098
2010-11-30,0.5555555555555556,0.9024390243902439
2010-12-31,0.6626506024096386,0.7341772151898734
