,0,1
2001-01-31,0.19444444444444445,0.39436619718309857
2001-02-28,0.29577464788732394,0.4714285714285714
2001-03-31,0.4507042253521127,0.352112676056338
2001-04-30,0.8055555555555556,0.7464788732394366
2001-05-31,0.704225352112676,0.8333333333333334
2001-06-30,0.6388888888888888,0.8611111111111112
2001-07-31,0.8169014084507042,0.75
2001-08-31,0.9027777777777778,0.5068493150684932
2001-09-30,0.9861111111111112,0.5428571428571428
2001-10-31,0.9154929577464789,0.6901408450704225
2001-11-30,0.7428571428571429,0.821917808219178
2001-12-31,0.4027777777777778,0.9166666666666666
2002-01-31,0.6216216216216216,0.9444444444444444
2002-02-28,0.9041095890410958,0.8243243243243243
2002-03-31,0.7123287671232876,0.821917808219178
2002-04-30,0.8513513513513513,0.863013698630137
2002-05-31,0.8356164383561644,0.726027397260274
2002-06-30,0.9726027397260274,0.44594594594594594
2002-07-31,1.0,0.352112676056338
2002-08-31,0.918918918918919,0.4722222222222222
2002-09-30,0.9305555555555556,0.4246575342465753
2002-10-31,0.8648648648648649,0.8194444444444444
2002-11-30,0.821917808219178,0.8918918918918919
2002-12-31,0.68,0.7916666666666666
2003-01-31,0.7916666666666666,0.6216216216216216
2003-02-28,0.863013698630137,0.581081081081081
2003-03-31,0.7945205479452054,0.7972972972972973
2003-04-30,0.4444444444444444,0.8243243243243243
2003-05-31,0.0958904109589041,0.9864864864864865
2003-06-30,0.0821917808219178,1.0
2003-07-31,0.1891891891891892,0.9726027397260274
2003-08-31,0.4794520547945205,0.9041095890410958
2003-09-30,0.6351351351351351,0.8493150684931506
2003-10-31,0.5694444444444444,0.8513513513513513
2003-11-30,0.625,0.7083333333333334
2003-12-31,0.5675675675675675,0.8513513513513513
2004-01-31,0.84,0.7945205479452054
2004-02-29,0.6,0.7123287671232876
2004-03-31,0.8289473684210527,0.6575342465753424
2004-04-30,0.9473684210526315,0.4605263157894737
2004-05-31,0.96,0.4342105263157895
2004-06-30,0.88,0.6266666666666667
2004-07-31,1.0,0.4166666666666667
2004-08-31,0.9066666666666666,0.3150684931506849
2004-09-30,0.918918918918919,0.6578947368421053
2004-10-31,0.8243243243243243,0.821917808219178
2004-11-30,0.5342465753424658,0.9459459459459459
2004-12-31,0.32,0.863013698630137
2005-01-31,0.72,0.92
2005-02-28,0.8051948051948052,0.6486486486486487
2005-03-31,0.8026315789473685,0.6578947368421053
2005-04-30,0.88,0.6623376623376623
2005-05-31,0.8289473684210527,0.8157894736842105
2005-06-30,0.64,0.631578947368421
2005-07-31,0.34210526315789475,1.0
2005-08-31,0.618421052631579,0.8441558441558441
2005-09-30,0.8026315789473685,0.8289473684210527
2005-10-31,0.8333333333333334,0.6103896103896104
2005-11-30,0.6883116883116883,0.8589743589743589
2005-12-31,0.7012987012987013,0.7532467532467533
2006-01-31,0.6973684210526315,0.9487179487179487
2006-02-28,0.7721518987341772,0.7922077922077922
2006-03-31,0.6493506493506493,0.8831168831168831
2006-04-30,0.7721518987341772,0.7532467532467533
2006-05-31,0.717948717948718,0.5974025974025974
2006-06-30,0.975,0.44871794871794873
2006-07-31,0.9875,0.44155844155844154
2006-08-31,0.8701298701298701,0.6923076923076923
2006-09-30,0.7564102564102564,0.810126582278481
2006-10-31,0.675,0.8625
2006-11-30,0.7051282051282052,0.9620253164556962
2006-12-31,0.7532467532467533,0.8227848101265823
2007-01-31,0.8375,0.9102564102564102
2007-02-28,0.9240506329113924,0.6625
2007-03-31,0.8051948051948052,0.65
2007-04-30,0.8227848101265823,0.7435897435897436
2007-05-31,0.7051282051282052,0.9230769230769231
2007-06-30,0.7088607594936709,0.7375
2007-07-31,0.8625,0.5949367088607594
2007-08-31,0.775,0.3924050632911392
2007-09-30,0.9375,0.6790123456790124
2007-10-31,0.7283950617283951,0.9
2007-11-30,0.7974683544303798,0.6455696202531646
2007-12-31,0.875,0.6049382716049383
2008-01-31,0.9506172839506173,0.5
2008-02-29,0.9367088607594937,0.5121951219512195
2008-03-31,0.9358974358974359,0.4268292682926829
2008-04-30,0.8292682926829268,0.8717948717948718
2008-05-31,0.6666666666666666,0.926829268292683
2008-06-30,0.8292682926829268,0.8125
2008-07-31,0.95,0.7901234567901234
2008-08-31,0.8048780487804879,0.7560975609756098
2008-09-30,0.8641975308641975,0.8125
2008-10-31,0.9746835443037974,0.2682926829268293
2008-11-30,0.9878048780487805,0.14814814814814814
2008-12-31,0.9382716049382716,0.345679012345679
2009-01-31,0.8902439024390244,0.5432098765432098
2009-02-28,0.9382716049382716,0.5121951219512195
2009-03-31,0.7804878048780488,0.654320987654321
2009-04-30,0.6341463414634146,0.9629629629629629
2009-05-31,0.3170731707317073,1.0
2009-06-30,0.2962962962962963,0.9390243902439024
2009-07-31,0.2839506172839506,0.975
2009-08-31,0.3170731707317073,0.975609756097561
2009-09-30,0.23170731707317074,0.9024390243902439
2009-10-31,0.37037037037037035,0.6585365853658537
2009-11-30,0.39759036144578314,0.6875
2009-12-31,0.6463414634146342,0.5975609756097561
2010-01-31,0.7926829268292683,0.691358024691358
2010-02-28,0.9146341463414634,0.5365853658536586
2010-03-31,0.8414634146341463,0.6375
2010-04-30,0.8414634146341463,0.9135802469135802
2010-05-31,0.8674698795180723,0.36585365853658536
2010-06-30,0.9512195121951219,0.07407407407407407
2010-07-31,0.975,0.24096385542168675
2010-08-31,0.9397590361445783,0.37037037037037035
2010-09-30,0.5609756097560976,0.8765432098765432
2010-10-31,0.6666666666666666,0.7560975609756098
2010-11-30,0.573170731707317,0.9036144578313253
